第一名0.6128657371794307  车贷0.48711643021556145  投资0.3559845767235112  不错0.3113244706003452  平台0.296865073201194  
指定0.2856953287699987  户头0.2856953287699987  查询0.2856953287699987  汽车0.2856953287699987  记录0.2856953287699987  


真的0.6134224751151294  见面会0.46251487914999645  投资人0.4229982904464446  不错0.31160728318486364  微贷0.27472402688683545  


屋顶0.40864024521008535  猫儿0.40864024521008535  还好0.371537880715674  自动0.371537880715674  降息0.371537880715674  


活动0.41932889223382214  个人感觉0.21076164873175834  增值0.21076164873175834  不知0.21076164873175834  云里雾里0.21076164873175834  


星期六0.36262244777065095  星期一0.36262244777065095  垃圾0.36262244777065095  银行卡0.36262244777065095  点多0.36262244777065095  


越来越0.5245710738556969  好像0.47694280568203035  产品0.47694280568203035  希望0.37741431627442856  不错0.26647241304756786  


下个月0.39379152073264934  频繁0.39379152073264934  预热0.39379152073264934  段时间0.39379152073264934  期待0.3580373415780243  


退出0.37108270245571784  累不累0.37108270245571784  有序0.37108270245571784  不低0.37108270245571784  天天0.33739036342287254  


赶上0.2499735783250391  吸引力0.2499735783250391  小白0.2499735783250391  老头0.2499735783250391  撤资0.2499735783250391  


提现0.6337062523312122  工作日0.2476951610449705  周六0.2476951610449705  不说0.2476951610449705  宜人0.2476951610449705  


会场0.3256181638246381  签到0.3256181638246381  没动静0.3256181638246381  太小0.3256181638246381  礼品0.3256181638246381  


依然0.39972729664250256  流动0.39972729664250256  改观0.39972729664250256  终于0.39972729664250256  支持0.3634341805526491  


金石为开0.42293752656187544  精诚所至0.42293752656187544  有待0.42293752656187544  试水0.42293752656187544  提高0.3845370448354706  


比较稳定0.43627376336728385  九色鹿0.43627376336728385  堂妹0.43627376336728385  大嗓门0.43627376336728385  车贷0.34675803412707484  


保障0.4832866033329282  无限0.4832866033329282  坑爹0.4832866033329282  逾期0.40827349154264164  资金0.3477112865198966  


风景0.4314949749348678  备案0.4314949749348678  早日0.4314949749348678  错过0.4314949749348678  收益0.3253432247463294  


抵贷0.3295996191025106  合作0.3295996191025106  禁止0.3295996191025106  债转0.3295996191025106  金交所0.3295996191025106  


豆儿0.462622511831944  金米0.462622511831944  一年0.4206188441596996  车贷0.3677004812474224  网站0.3488130999958239  


去年0.5438861529885517  关注0.45946710947698627  体验0.4322902476270947  投资0.3159176149224395  不错0.2762841163633942  


综合0.4025002360597392  老板0.4025002360597392  性质0.4025002360597392  抵押0.34002634376695695  一点0.34002634376695695  


没试0.5968262414036749  产品0.5426375876723117  回款0.4293999022446456  不错0.30317670310715006  用户0.23490707326768565  


第一0.48705923640731247  肯定0.48705923640731247  垫付0.48705923640731247  回款0.35042559122194106  不错0.24741709272796353  


山西0.46624146712437337  古城0.46624146712437337  顺便0.46624146712437337  周日0.4239092175272633  见面会0.35154175885269584  


感谢0.3853727568384534  粽子0.3853727568384534  福利0.3853727568384534  陪伴0.3853727568384534  张之逗0.3853727568384534  


门槛0.6455645008072315  见面会0.4867496695786135  投资人0.44516249614610237  微贷0.2891189783088178  用户0.2540901471314017  


前景0.4914415787106187  听说0.4468212927873459  看好0.4468212927873459  入股0.4151626961014537  银行0.370542410178181  


努力0.4633631246276442  千亿0.4633631246276442  网破0.4633631246276442  见面会0.34937151520165066  投资人0.31952172853893235  


回馈0.4576908251573571  五周年0.4576908251573571  期待0.41613492844922484  六周年0.41613492844922484  投资人0.3156102758677837  


大势0.41661571242589746  降低0.41661571242589746  稳健0.3787892178558932  这是0.3787892178558932  降息0.3787892178558932  


资料0.31400418995040985  站岗0.2854942767813754  网站0.23675625830346167  最坑0.15700209497520493  剩余0.15700209497520493  


利息0.9474495978830804  微贷0.31990507884556824  理解0.0  猫儿0.0  猕猴0.0  


托管0.8416616638476384  平安0.2805538879492128  钱存0.2805538879492128  网站0.2115350396242621  银行0.2115350396242621  


角度看0.637892648439438  利率0.5070082579564998  资金0.45894604137757367  不错0.32403767909955433  微贷0.1428415522824627  


开盖0.3828354089455247  总体0.3828354089455247  有喜0.3828354089455247  静观其变0.3828354089455247  一年0.34807598656714045  


大伯0.3902029778198957  每次0.3902029778198957  夏侯惇0.3902029778198957  准时0.3902029778198957  老实0.3902029778198957  


吸血虫0.2953442368303577  低息0.2953442368303577  流氓0.2953442368303577  典型0.2953442368303577  远离0.2953442368303577  


